J,coarseDt,refinedDt,coarseValidationNRMSE,refinedValidationNRMSE,absoluteNRMSEDifference,maxAbsStateDifference,relativeStateDifference
0,0.0125,0.00625,0.296059713081435,0.296059713264841,1.83405235443246e-10,1.8448150562906e-09,3.03460535113047e-10
0.65,0.0125,0.00625,0.265103348093119,0.2651033478541,2.39018527192769e-10,2.39736507563339e-08,1.86642170491317e-08
