gainK,meanGain,sdGain,medianGain,ciLow,ciHigh,improvedCount,improvedFraction,exactSignFlipP
0,0.0185943869437178,0.0135976787958774,0.0226892123320605,0.0100567925265018,0.0261611420837917,9,0.9,0.005859375
-0.02,0.0280782424184562,0.0131355317123471,0.0300475293150675,0.0197536226311372,0.0353019255528422,9,0.9,0.00390625
