pairIndex,seedOffset,directNRMSE,linearNRMSE,nvar2NRMSE,J0NRMSE,coupledNRMSE,directBER,linearBER,nvar2BER,J0BER,coupledBER
1,4001,1.40617966231143,0.690847965751426,0.255286895332061,0.23430806636438,0.272969841816908,0.494333333333333,0.113,0,0,0
2,4002,1.43446824520968,0.692787784116407,0.250944898433882,0.227368576492406,0.269002051871298,0.514333333333333,0.119333333333333,0,0,0
3,4003,1.42579484040706,0.707871425074495,0.251851818144268,0.225124319097839,0.267649628313239,0.506666666666667,0.102333333333333,0,0,0
4,4004,1.39247181834209,0.684254981170631,0.248393487096753,0.220967072444467,0.263755673435467,0.484666666666667,0.110333333333333,0,0,0
5,4005,1.41775657939424,0.695637888056668,0.249550252520576,0.225905649662178,0.269358932955102,0.502333333333333,0.117333333333333,0,0,0
6,4006,1.39633547072796,0.684950695087223,0.247942122155676,0.227527503027013,0.266020535756455,0.487333333333333,0.0996666666666667,0,0,0
7,4007,1.42631642766423,0.69459059927217,0.252424048758408,0.229254084310717,0.270929346725744,0.508333333333333,0.106666666666667,0,0,0
8,4008,1.41051752949578,0.696266349325041,0.254551381937424,0.229799400164631,0.271613636506775,0.497333333333333,0.120666666666667,0,0,0.000333333333333333
9,4009,1.43075780339423,0.697371493075502,0.247361992615373,0.223702793016314,0.265722114567687,0.511666666666667,0.108333333333333,0,0,0
10,4010,1.4028570390569,0.687041758884106,0.248388150747149,0.226679147634599,0.265126239486635,0.492,0.105333333333333,0,0.000333333333333333,0
11,4011,1.41170357870073,0.680923699610902,0.252295819577936,0.22817463353406,0.268634513044119,0.498,0.107,0,0,0
12,4012,1.41102307186199,0.68776439796045,0.249511193150462,0.224797900014151,0.269662309024436,0.497666666666667,0.111666666666667,0,0,0
13,4013,1.41370058342491,0.701097768406507,0.248453111088282,0.225704159703066,0.26783890469795,0.499333333333333,0.111666666666667,0,0,0
14,4014,1.40106445824648,0.687238737336494,0.250493315686075,0.226113069260804,0.270023544457441,0.490666666666667,0.103,0,0,0
15,4015,1.39997303640413,0.687450714963034,0.248201292320381,0.223940546755949,0.264275796824796,0.489666666666667,0.11,0,0,0
16,4016,1.42451208368529,0.687405851013135,0.2527215368698,0.226077865268034,0.274630580257072,0.507,0.094,0,0,0
17,4017,1.42220517705078,0.689783654775671,0.245950865263796,0.223441173571757,0.266634778872632,0.505666666666667,0.111333333333333,0,0,0
18,4018,1.42033649125733,0.693489343065297,0.245591012922399,0.222638374498634,0.266467285570208,0.504333333333333,0.109,0,0,0
19,4019,1.40735273756079,0.691482382585593,0.248249777560906,0.223289887719319,0.266697197361681,0.495,0.106,0,0,0
20,4020,1.42041982592429,0.691212529556329,0.246972878643033,0.226435889387438,0.266768598413995,0.504333333333333,0.110333333333333,0,0,0
21,4021,1.41879324764085,0.684232249578399,0.250253271373964,0.226030699231554,0.273861408292658,0.503,0.106333333333333,0,0,0
22,4022,1.44187386088508,0.697696560480173,0.249632447266037,0.224974508290795,0.268942800997162,0.519666666666667,0.126333333333333,0,0,0
23,4023,1.40526611912584,0.686871272073131,0.248072733718676,0.225127056060491,0.265769754504875,0.493666666666667,0.094,0,0,0
24,4024,1.42044255610659,0.695862806957599,0.247843725236124,0.22632606732779,0.266912113731964,0.504333333333333,0.0993333333333333,0,0,0
25,4025,1.41056267336001,0.694218914791332,0.255431624135276,0.2275218972365,0.273417842198399,0.497333333333333,0.118666666666667,0,0,0
26,4026,1.42350779396876,0.698092741361537,0.242296907595462,0.220532733944101,0.263486671955282,0.506333333333333,0.103666666666667,0,0,0
27,4027,1.42573079012463,0.698466854525915,0.259449474074769,0.234216265757227,0.280474436668166,0.508,0.128,0,0,0.000333333333333333
28,4028,1.43114584130963,0.702430805357984,0.251427342031205,0.223717375749448,0.267613772119679,0.512,0.115333333333333,0,0,0
29,4029,1.41441002185343,0.697518914707365,0.250054031891746,0.223466335259908,0.264941170945926,0.5,0.112666666666667,0,0,0
30,4030,1.4153853683597,0.68900221514832,0.248222410638704,0.227866985691255,0.268469455889727,0.500666666666667,0.120333333333333,0,0,0
