models,coefficientCount,selectedLambda,meanTestNRMSE,sdTestNRMSE,meanBER,sdBER,meanEVM,sdEVM
full-I/Q linear,51,1e-06,0.0890531719332711,0.000976959952248229,0,0,0.0890376305041952,0.000978967092611384
full-I/Q NVAR2,1326,21.5443469003188,0.092860912662365,0.00118169457858404,0,0,0.0928446751511287,0.00118084634069421
