condition,J,offset,meanOccupancy,carrierEffectivePhotons,medianRawEffectivePhotons,minimumRawEffectivePhotons,medianPcaEffectivePhotons,minimumPcaEffectivePhotons,dynamicToCarrierRatio,requiredPowerMedianPca_W,requiredPowerMinimumPca_W,kerrShiftOverKappa,kerrBoundaryPower_W,kerrBoundaryEffectivePhotons,requiredSignalKerrImprovement
J=0,0,101,4.12927573665993,0.00619391360498989,6.21092866737748e-07,1.9575517282267e-07,1.61164870843822e-07,3.21003767455313e-10,2.6019877111942e-05,13.8988105054896,6978.11124697105,14004.9883479845,9.92418569736965e-05,0.0714031297386914,140049.883479845
J=0.65,0.65,101,0.385021460143696,0.000577532190215544,1.64765055392565e-07,3.54695056474413e-08,5.9342137623088e-08,4.62051334851039e-10,0.000102751220846998,37.7472077973897,4847.94617187321,3546.50847712416,0.00106434844413508,0.281967463619569,35465.0847712416
J=0,0,102,4.12928711664817,0.00619393067497226,5.97241880570712e-07,2.10199656023371e-07,1.58529045792405e-07,3.18376684137249e-10,2.55942557499024e-05,14.1299027493882,7035.69109047683,14237.8852243096,9.92415834709989e-05,0.0702351496901107,142378.852243096
J=0.65,0.65,102,0.385021547695168,0.000577532321542752,1.62511786000518e-07,3.58090952701096e-08,5.82105080745269e-08,4.20400940170457e-10,0.000100791775461207,38.4810247169141,5328.24688520383,3615.45447633263,0.00106434820210896,0.276590400057909,36154.5447633263
J=0,0,103,4.12927743275986,0.00619391614913979,6.3665670825018e-07,2.03947296005457e-07,1.5048450290613e-07,3.17182691303167e-10,2.42955344054874e-05,14.8852536755714,7062.1760310968,14998.9734610007,9.92418162101223e-05,0.0666712293744721,149989.734610007
J=0.65,0.65,103,0.385015372326454,0.00057752305848968,1.58263621992677e-07,3.5631986365527e-08,5.67760076415608e-08,4.37115953643603e-10,9.83095078316693e-05,39.4532848125145,5124.49838842157,3706.74295707689,0.001064365273486,0.269778620093094,37067.4295707689
J=0,0,104,4.12923920116921,0.00619385880175382,5.84853231991421e-07,1.96374323843687e-07,1.51461561892639e-07,3.0132239436652e-10,2.44535057611827e-05,14.7892308253614,7433.8981830714,14902.0790445186,9.92427350652207e-05,0.0671047306226594,149020.790445186
J=0.65,0.65,104,0.385015123296907,0.00057752268494536,1.57251556905006e-07,3.36118085029212e-08,6.00701055930922e-08,4.116545166441e-10,0.000104013413081385,37.2897629841621,5441.45614691898,3503.47195590637,0.00106436596192234,0.285431141617714,35034.7195590637
J=0,0,105,4.12927995299056,0.00619391992948584,5.95407297407066e-07,1.94529600679252e-07,1.59070826364075e-07,2.98720223849325e-10,2.56817698928956e-05,14.0817776030985,7498.65533419612,14189.3676833209,9.924175563969e-05,0.070475303926014,141893.676833209
J=0.65,0.65,105,0.385019229975471,0.000577528844963206,1.57562250530555e-07,3.32990655648814e-08,5.77853803047307e-08,4.16112962001107e-10,0.00010005626698769,38.7641300998173,5383.15362546683,3642.03149627369,0.00106435460921956,0.274572035146632,36420.3149627369
