method,meanValidationNRMSE,sdValidationNRMSE,ridgeLambda
bosonic J=0,0.227117108598275,0.00165133178215551,1e-06
bosonic coupled,0.270346443761387,0.00223673286589797,1e-06
linear taps,0.693871673497867,0.0031358253379839,21.5443469003188
NVAR2,0.250825928954345,0.00272641387746935,10
