seedIndex,conditionIndex,condition,J,gDeltaMode,inputMode,staticDisorderEnabled,validationNRMSE,normalizedCommutator,effectiveRank,conditionNumber
5,5,"J=.65 both, no base-frequency disorder",0.65,heterogeneous,detuning+amplitude,0,0.269471610085294,0.447731720750853,12.3805478983509,22.012952285001
5,6,"J=.65 drive only",0.65,zero,amplitude,1,0.369313987157535,0,11.7611168655253,26.3895943660787
5,7,"J=.65 uniform G, both",0.65,uniform,detuning+amplitude,1,0.251254381095099,0,12.0405730366491,28.6443414678028
5,8,"J=.65 both, no copy disorder",0.65,heterogeneous,detuning+amplitude,1,0.25926449950937,0.446462084228493,11.787630795281,106.700327594385
5,9,"J=.65 both, no detuning disorder",0.65,heterogeneous,detuning+amplitude,0,0.269967477349571,0.447731720750853,11.9641873279625,23.9656324286719
6,1,"J0 heterogeneous, both",0,heterogeneous,detuning+amplitude,1,0.314893565032735,0,9.75730931450964,29.0582838109699
6,2,"J=.65 uniform G, detuning",0.65,uniform,detuning,1,0.291128616601861,0,7.99360452516307,35.0426526341819
6,3,"J=.65 heterogeneous G, detuning",0.65,heterogeneous,detuning,1,0.267982782919005,0.448109047242489,13.3805264380443,13.8751645254679
6,4,"J=.65 heterogeneous, both",0.65,heterogeneous,detuning+amplitude,1,0.268735271438139,0.448109047242489,13.3099680537275,13.8570664468494
6,5,"J=.65 both, no base-frequency disorder",0.65,heterogeneous,detuning+amplitude,0,0.264124231106357,0.447731720750853,13.4902795064956,14.0934679565673
6,6,"J=.65 drive only",0.65,zero,amplitude,1,0.366552004790799,0,11.0755280134988,22.8053352319268
6,7,"J=.65 uniform G, both",0.65,uniform,detuning+amplitude,1,0.278161945619383,0,9.06003296254177,22.6968110396747
6,8,"J=.65 both, no copy disorder",0.65,heterogeneous,detuning+amplitude,1,0.262621259614223,0.448109047242489,11.9967253973809,228.655325181727
6,9,"J=.65 both, no detuning disorder",0.65,heterogeneous,detuning+amplitude,0,0.268198649915193,0.447731720750853,11.8213472683247,24.115221593142
7,1,"J0 heterogeneous, both",0,heterogeneous,detuning+amplitude,1,0.308812745009579,0,9.30982481721999,23.0339460650226
7,2,"J=.65 uniform G, detuning",0.65,uniform,detuning,1,0.269779269439149,0,8.88992268088875,32.7399058280569
7,3,"J=.65 heterogeneous G, detuning",0.65,heterogeneous,detuning,1,0.279258079073565,0.450497931644455,12.719200956523,15.9791520989989
7,4,"J=.65 heterogeneous, both",0.65,heterogeneous,detuning+amplitude,1,0.280888142686583,0.450497931644455,13.1772541826254,15.1002914417617
7,5,"J=.65 both, no base-frequency disorder",0.65,heterogeneous,detuning+amplitude,0,0.275269142688327,0.447731720750853,12.692142673732,15.7028461882342
7,6,"J=.65 drive only",0.65,zero,amplitude,1,0.377979540337494,0,11.548258346772,19.8948393995657
7,7,"J=.65 uniform G, both",0.65,uniform,detuning+amplitude,1,0.258561003077256,0,10.3493020816074,21.5312822506328
7,8,"J=.65 both, no copy disorder",0.65,heterogeneous,detuning+amplitude,1,0.274269300222189,0.450497931644455,12.7269609699506,82.3833711074382
7,9,"J=.65 both, no detuning disorder",0.65,heterogeneous,detuning+amplitude,0,0.275858372547486,0.447731720750853,12.4984128448384,17.4371013456477
8,1,"J0 heterogeneous, both",0,heterogeneous,detuning+amplitude,1,0.294130516962138,0,9.14845594718933,37.7688974743078
8,2,"J=.65 uniform G, detuning",0.65,uniform,detuning,1,0.254383226704406,0,8.5643762109102,37.9310991111554
8,3,"J=.65 heterogeneous G, detuning",0.65,heterogeneous,detuning,1,0.256871875597096,0.4497558585784,12.085289916709,23.7666591199678
8,4,"J=.65 heterogeneous, both",0.65,heterogeneous,detuning+amplitude,1,0.256584167226769,0.4497558585784,12.018570764081,22.5263311935162
8,5,"J=.65 both, no base-frequency disorder",0.65,heterogeneous,detuning+amplitude,0,0.254234919736966,0.447731720750853,12.0276220385925,21.8147833223696
8,6,"J=.65 drive only",0.65,zero,amplitude,1,0.357760985491378,0,10.9353039165846,34.9512967513161
8,7,"J=.65 uniform G, both",0.65,uniform,detuning+amplitude,1,0.253030766066566,0,10.041487947127,34.7968840168696
8,8,"J=.65 both, no copy disorder",0.65,heterogeneous,detuning+amplitude,1,0.25628812949133,0.4497558585784,11.6675178783019,365.775834602176
8,9,"J=.65 both, no detuning disorder",0.65,heterogeneous,detuning+amplitude,0,0.254380961054219,0.447731720750853,11.5208635195764,25.5809853871036
9,1,"J0 heterogeneous, both",0,heterogeneous,detuning+amplitude,1,0.300569094764651,0,9.79986090990926,42.0695592669611
9,2,"J=.65 uniform G, detuning",0.65,uniform,detuning,1,0.268506734109281,0,7.66152516029106,42.6559850642169
9,3,"J=.65 heterogeneous G, detuning",0.65,heterogeneous,detuning,1,0.273064843050246,0.44420268305882,13.7477234062377,13.2385331487152
9,4,"J=.65 heterogeneous, both",0.65,heterogeneous,detuning+amplitude,1,0.275792620472564,0.44420268305882,13.4015653770733,13.2957233218904
9,5,"J=.65 both, no base-frequency disorder",0.65,heterogeneous,detuning+amplitude,0,0.279849968519944,0.447731720750853,13.6629232034908,12.903289490925
9,6,"J=.65 drive only",0.65,zero,amplitude,1,0.387196091634382,0,11.8426419676625,19.4073863585114
9,7,"J=.65 uniform G, both",0.65,uniform,detuning+amplitude,1,0.266993877496325,0,9.08650799905453,26.8738419542387
9,8,"J=.65 both, no copy disorder",0.65,heterogeneous,detuning+amplitude,1,0.275201611984478,0.44420268305882,12.3527037749316,149.85105855756
9,9,"J=.65 both, no detuning disorder",0.65,heterogeneous,detuning+amplitude,0,0.273303851313204,0.447731720750853,12.9401683899339,19.738467669678
10,1,"J0 heterogeneous, both",0,heterogeneous,detuning+amplitude,1,0.304991900771143,0,9.79397779529651,20.0337102529291
10,2,"J=.65 uniform G, detuning",0.65,uniform,detuning,1,0.276709952458584,0,8.02790350643417,27.7690827103612
10,3,"J=.65 heterogeneous G, detuning",0.65,heterogeneous,detuning,1,0.272425169327193,0.449395092144289,13.531707160484,12.0947798320848
10,4,"J=.65 heterogeneous, both",0.65,heterogeneous,detuning+amplitude,1,0.273798654905096,0.449395092144289,13.3458071740041,12.1464710864589
10,5,"J=.65 both, no base-frequency disorder",0.65,heterogeneous,detuning+amplitude,0,0.270315581712284,0.447731720750853,13.147403219212,13.2117911176
10,6,"J=.65 drive only",0.65,zero,amplitude,1,0.374953065063476,0,11.5784053245265,25.5118124408385
10,7,"J=.65 uniform G, both",0.65,uniform,detuning+amplitude,1,0.266683893258341,0,9.34259733462604,24.1897311594312
10,8,"J=.65 both, no copy disorder",0.65,heterogeneous,detuning+amplitude,1,0.272495240630445,0.449395092144289,12.5859414554281,105.128619114534
10,9,"J=.65 both, no detuning disorder",0.65,heterogeneous,detuning+amplitude,0,0.267677485563511,0.447731720750853,13.1483870595391,13.106767324745
