t,sameInputNorm,sameInputBound,oldHistoryNorm,oldHistoryBound
0,6.2361468809239,6.2361468809239,0,NaN
0.0125,6.23147152424112,6.23147152424112,0.00495538566410285,NaN
0.025,6.22679967276123,6.22679967276123,0.00703603762479344,NaN
0.0375,6.22213132385633,6.22213132385633,0.00937149641081362,NaN
0.05,6.21746647490046,6.21746647490046,0.00427012712585337,NaN
0.0625,6.21280512326965,6.21280512326965,0.00529903994297154,NaN
0.075,6.20814726634188,6.20814726634188,0.00284991660687109,NaN
0.0875,6.20349290149712,6.20349290149712,0.00372293707657522,NaN
0.1,6.19884202611727,6.19884202611727,0.00640625987596635,NaN
0.1125,6.19419463758623,6.19419463758623,0.00711313597249829,NaN
0.125,6.18955073328983,6.18955073328983,0.0135894112370426,NaN
0.1375,6.18491031061589,6.18491031061589,0.017857778161319,NaN
0.15,6.18027336695416,6.18027336695416,0.0177143720785363,NaN
0.1625,6.17563989969636,6.17563989969636,0.0173482480027287,NaN
0.175,6.17100990623616,6.17100990623616,0.0237860421232883,NaN
0.1875,6.1663833839692,6.1663833839692,0.0243823111355015,NaN
0.2,6.16176033029306,6.16176033029306,0.0233020136662057,NaN
0.2125,6.15714074260727,6.15714074260727,0.018365308073842,NaN
0.225,6.1525246183133,6.1525246183133,0.015894569219451,NaN
0.2375,6.1479119548146,6.1479119548146,0.0164806590084413,NaN
0.25,6.14330274951653,6.14330274951653,0.0153655737752071,NaN
0.2625,6.13869699982642,6.13869699982642,0.0177435721561451,NaN
0.275,6.13409470315354,6.13409470315354,0.021898115695306,NaN
0.2875,6.12949585690908,6.12949585690908,0.0262881260934019,NaN
0.3,6.12490045850621,6.12490045850621,0.0274957427037752,NaN
0.3125,6.12030850536001,6.12030850536001,0.0297889506576671,NaN
0.325,6.11571999488751,6.1157199948875,0.0300442234626813,NaN
0.3375,6.11113492450766,6.11113492450766,0.0226181436888536,NaN
0.35,6.10655329164136,6.10655329164136,0.0287758518306433,NaN
0.3625,6.10197509371146,6.10197509371146,0.0354482741381047,NaN
0.375,6.09740032814271,6.09740032814271,0.0291164467028923,NaN
0.3875,6.0928289923618,6.0928289923618,0.0210471777006902,NaN
0.4,6.08826108379736,6.08826108379736,0.0273463168648549,NaN
0.4125,6.08369659987994,6.08369659987994,0.0271892668368725,NaN
0.425,6.07913553804202,6.07913553804202,0.0261979022551478,NaN
0.4375,6.074577895718,6.074577895718,0.0297514294568514,NaN
0.45,6.07002367034421,6.0700236703442,0.0251020654396556,NaN
0.4625,6.06547285935889,6.06547285935889,0.0315263750775491,NaN
0.475,6.06092546020221,6.06092546020221,0.0267955506216851,NaN
0.4875,6.05638147031626,6.05638147031626,0.0201662056808916,NaN
0.5,6.05184088714506,6.05184088714506,0.0252514311506477,NaN
0.5125,6.04730370813451,6.04730370813451,0.0249043184063531,NaN
0.525,6.04276993073245,6.04276993073245,0.0131011873089249,NaN
0.5375,6.03823955238864,6.03823955238864,0.0155371362907643,NaN
0.55,6.03371257055474,6.03371257055474,0.0159938419203614,NaN
0.5625,6.02918898268432,6.02918898268432,0.0159195895419924,NaN
