conditionIndex,condition,perturbation,level,protocol,n,meanNRMSE,sdNRMSE,medianNRMSE,q25NRMSE,q75NRMSE
1,J=0,clean,0,zero_shot,10,0.302564538961664,0.0078458500485634,0.302780497767812,0.295109704273731,0.308812745008283
1,J=0,correlated_noise_fraction,0,pca_readout_recalibrated,30,0.364174196064071,0.0176740226052848,0.362638960376195,0.355995521386857,0.373698973679066
1,J=0,correlated_noise_fraction,0,zero_shot,30,8.87002428691091,10.2025750735508,4.96842036304564,3.51098745405829,6.2710747587094
1,J=0,correlated_noise_fraction,0.5,pca_readout_recalibrated,30,0.354640203109514,0.0198597643574563,0.348592843427522,0.344275790158224,0.368375761079097
1,J=0,correlated_noise_fraction,0.5,zero_shot,30,14.1689547911564,13.5648654052331,9.78029569688964,6.02375462800332,14.1756423482922
1,J=0,correlated_noise_fraction,0.9,pca_readout_recalibrated,30,0.335128236129685,0.0207084372225958,0.328427529087193,0.323458640790845,0.34438293471322
1,J=0,correlated_noise_fraction,0.9,zero_shot,30,17.0423701323997,15.9349653075243,12.3028541261499,6.57822520488013,18.0906931144717
1,J=0,detector_snr_db,20,pca_readout_recalibrated,30,0.382129817029262,0.0141491030945507,0.381083235291565,0.377158034330012,0.39124076553672
1,J=0,detector_snr_db,20,zero_shot,30,27.8157841858803,32.0576425350514,15.6465921965705,10.9035857586976,19.6190558693901
1,J=0,detector_snr_db,30,pca_readout_recalibrated,30,0.364113307315518,0.0172162506826932,0.361837736483649,0.356648415980263,0.372686318415071
1,J=0,detector_snr_db,30,zero_shot,30,8.87403483371486,10.2640094889546,4.95150715100867,3.47644507072948,6.21872033092512
1,J=0,detector_snr_db,40,pca_readout_recalibrated,30,0.342058271561738,0.022888333503842,0.335622787614371,0.32417440953757,0.356718772468142
1,J=0,detector_snr_db,40,zero_shot,30,2.84971980246897,3.21644106939469,1.61043582040136,1.12406749452806,1.98660421553561
1,J=0,failed_modes,1,pca_readout_recalibrated,30,0.302812464725367,0.00809665376216995,0.302510273567188,0.294765337057685,0.308586219922268
1,J=0,failed_modes,1,zero_shot,30,1.59342749989731,0.884026918150746,1.2958821215026,0.817187532567097,2.49261984857719
1,J=0,failed_modes,2,pca_readout_recalibrated,30,0.303581113543941,0.00785856385339449,0.303712005707651,0.295591508350205,0.307879478157408
1,J=0,failed_modes,2,zero_shot,30,2.07450065746811,1.14460509752549,1.97904605827211,1.01082962581128,2.68313778151335
1,J=0,failed_modes,3,pca_readout_recalibrated,30,0.30469925690411,0.00845814328572954,0.305036577981306,0.295483477731902,0.31275489441831
1,J=0,failed_modes,3,zero_shot,30,2.43339140589574,1.43874869718048,2.44996858132574,1.2401803515311,3.07921014699257
1,J=0,gain_mismatch_sigma,0.01,pca_readout_recalibrated,30,0.302564538961436,0.00757047076513957,0.302780497768313,0.295109704273659,0.308812745009349
1,J=0,gain_mismatch_sigma,0.01,zero_shot,30,1.51375997041003,2.07894348469731,0.866550725399986,0.383217994342991,1.50309470556787
1,J=0,gain_mismatch_sigma,0.05,pca_readout_recalibrated,30,0.302564538961078,0.00757047076503494,0.302780497768241,0.295109704273694,0.308812745011285
1,J=0,gain_mismatch_sigma,0.05,zero_shot,30,6.91226697801863,8.14103269259461,4.30942446197214,1.68353617929442,9.21768156316374
1,J=0,gain_mismatch_sigma,0.1,pca_readout_recalibrated,30,0.302564538961566,0.00757047076513777,0.302780497768018,0.295109704273729,0.308812745013264
1,J=0,gain_mismatch_sigma,0.1,zero_shot,30,14.7052371980672,16.0564200349166,11.2872798997106,2.6903921809059,20.3998445996078
1,J=0,quantization_bits,6,pca_readout_recalibrated,30,0.318223165358441,0.0126308900335974,0.314563764376733,0.309686521759578,0.329526617953187
1,J=0,quantization_bits,6,zero_shot,30,0.519324796768842,0.227378009359683,0.442841699834649,0.368560011666487,0.676724125083796
1,J=0,quantization_bits,8,pca_readout_recalibrated,30,0.316929872948646,0.012213917798069,0.317253496489202,0.306504155532977,0.327218043711522
1,J=0,quantization_bits,8,zero_shot,30,0.36069078309984,0.0813461503622829,0.34046853039102,0.317009568208962,0.358351335749531
1,J=0,quantization_bits,12,pca_readout_recalibrated,30,0.339134486181088,0.0500623111390849,0.322299948967386,0.314622166750927,0.342561568322039
1,J=0,quantization_bits,12,zero_shot,30,0.347077999909432,0.0703781348086769,0.325048621169914,0.314627070561448,0.342606688997973
