conditionIndex,condition,meanValidationNRMSE,sdValidationNRMSE,medianValidationNRMSE,q25ValidationNRMSE,q75ValidationNRMSE,meanNormalizedCommutator,meanEffectiveRank,meanLog10ConditionNumber
1,"J0 heterogeneous, both",0.302564538961224,0.00784585004804348,0.302780497767897,0.295109704273671,0.308812745009579,0,9.55719229918037,1.47825912465316
2,"J=.65 uniform G, detuning",0.266719931408812,0.0127506629234452,0.264359894768963,0.254741043481202,0.276709952458584,0,8.2405427025125,1.54284719103159
3,"J=.65 heterogeneous G, detuning",0.267960205707325,0.00906513287459634,0.267823811789488,0.263714449111016,0.273064843050246,0.447770220493148,13.0683389108115,1.20369302199768
4,"J=.65 heterogeneous, both",0.269140212089947,0.00956990663996684,0.26766819444616,0.264972189024256,0.275792620472564,0.447770220493148,12.9280821498081,1.19768641539836
5,"J=.65 both, no base-frequency disorder",0.266252565876317,0.00986109869785438,0.266797920595826,0.256655631566939,0.275269142688327,0.447731720750853,12.9816672631892,1.19597698573809
6,"J=.65 drive only",0.375293418037305,0.00886629272834718,0.377026885442672,0.369313987157535,0.378883023652563,0,11.3913219234543,1.37869566788227
7,"J=.65 uniform G, both",0.260518992453005,0.00926174670986822,0.257282574085724,0.253030766066566,0.266993877496325,0,9.59915526405448,1.42791829715773
8,"J=.65 both, no copy disorder",0.265585747260474,0.00925643114061676,0.264344612968035,0.25926449950937,0.274269300222189,0.447770220493148,12.1598728010365,2.2411401469361
9,"J=.65 both, no detuning disorder",0.265169499675777,0.00979984962110459,0.267938067739352,0.260035343932263,0.273303851313204,0.447731720750853,12.4600499405034,1.31822450459431
