pairIndex,seedOffset,fullIQLinearNRMSE,fullIQNVAR2NRMSE,fullIQLinearBER,fullIQNVAR2BER,fullIQLinearEVM,fullIQNVAR2EVM
1,4001,0.0894841734654509,0.0939353542129796,0,0,0.0894839944969251,0.0939351663420835
2,4002,0.0900347504272788,0.0935560893189238,0,0,0.0900267469826275,0.0935477728524583
3,4003,0.0887636249583927,0.0934520048980882,0,0,0.0886276335375284,0.0933088305861483
4,4004,0.0884029278068881,0.0929460588286384,0,0,0.0883958356430829,0.0929386021901469
5,4005,0.0887824028490117,0.0919409939081891,0,0,0.0887669336338355,0.0919249743483141
6,4006,0.0886550425132423,0.0922804525971598,0,0,0.0886455066580475,0.0922705267879973
7,4007,0.0870491329082,0.0906397867056422,0,0,0.0870267680801616,0.0906164993600319
8,4008,0.0888233522383985,0.0931735997559996,0,0,0.0888182990328423,0.0931682990626559
9,4009,0.0901505071932992,0.0935243826878436,0,0,0.0901416720106492,0.0935152168491922
10,4010,0.0890768301208871,0.0925570582185225,0,0,0.0890766519670489,0.0925568731042211
11,4011,0.089426574926335,0.0933545327565236,0,0,0.0894062230965462,0.0933332869963876
12,4012,0.0905797838537002,0.0941758488019433,0,0,0.0905725170506603,0.0941682935030096
13,4013,0.08827608474148,0.0910565582740507,0,0,0.0882492251085412,0.0910288526305677
14,4014,0.0876168206401581,0.0910796441051092,0,0,0.0876097915421466,0.0910723372005606
15,4015,0.0910298171025601,0.0954199819096748,0,0,0.0910006019575342,0.0953893577834424
16,4016,0.0892255313674675,0.0935747720299869,0,0,0.0891983828478167,0.0935463001733519
17,4017,0.0900500145976375,0.0935871478873355,0,0,0.0900499945865207,0.093587127090189
18,4018,0.0881270916277555,0.0928668189913273,0,0,0.0881266020314423,0.0928663030631223
19,4019,0.0879844808107326,0.0924351697116362,0,0,0.0879702261701221,0.0924201940010123
20,4020,0.0896175017314456,0.0931887327635038,0,0,0.0896117461115091,0.0931827477838091
21,4021,0.0887399518913882,0.0926838670809344,0,0,0.0887184742239186,0.0926614348704753
22,4022,0.088697523628289,0.092754477047528,0,0,0.0886904078304044,0.0927470357787692
23,4023,0.0901998555021272,0.0943935491249655,0,0,0.0901974300956262,0.0943910109531865
24,4024,0.0891909675346855,0.0931766336541514,0,0,0.0891838121500463,0.0931691585176929
25,4025,0.0877573973065615,0.0913189376461576,0,0,0.0877495963022965,0.0913108200464575
26,4026,0.0880306382705373,0.0907151960994805,0,0,0.088008021272283,0.090691889379546
27,4027,0.0899045062603923,0.0937945039101069,0,0,0.0898888415328334,0.0937781613994654
28,4028,0.0880007323609582,0.0915814268770668,0,0,0.0879968993566945,0.0915774379102676
29,4029,0.0903927445373341,0.0945674285334502,0,0,0.090380189117517,0.0945542932561408
30,4030,0.089524394825539,0.092096371534031,0,0,0.089509890698648,0.0920814507131582
