seedIndex,conditionIndex,condition,perturbation,level,replicate,protocol,ridgeLambda,validationNRMSE
1,1,J=0,correlated_noise_fraction,0.5,3,zero_shot,0.001,6.0528465516355
1,1,J=0,correlated_noise_fraction,0.5,3,pca_readout_recalibrated,0.001,0.359452030548056
1,1,J=0,correlated_noise_fraction,0.9,1,zero_shot,0.001,6.61822429379245
1,1,J=0,correlated_noise_fraction,0.9,1,pca_readout_recalibrated,0.001,0.330610563680309
1,1,J=0,correlated_noise_fraction,0.9,2,zero_shot,0.001,6.57822520488013
1,1,J=0,correlated_noise_fraction,0.9,2,pca_readout_recalibrated,0.001,0.329356705916849
1,1,J=0,correlated_noise_fraction,0.9,3,zero_shot,0.001,6.51437631949462
1,1,J=0,correlated_noise_fraction,0.9,3,pca_readout_recalibrated,0.001,0.325203043527445
1,1,J=0,retained_channel_fraction,0.75,1,zero_shot,0.001,2.4926139025929
1,1,J=0,retained_channel_fraction,0.75,1,pca_readout_recalibrated,0.001,0.294997486433537
1,1,J=0,retained_channel_fraction,0.75,2,zero_shot,0.001,2.02924814886521
1,1,J=0,retained_channel_fraction,0.75,2,pca_readout_recalibrated,0.001,0.294829980897113
1,1,J=0,retained_channel_fraction,0.75,3,zero_shot,0.001,2.82859514386037
1,1,J=0,retained_channel_fraction,0.75,3,pca_readout_recalibrated,0.001,0.294968334264358
1,1,J=0,retained_channel_fraction,0.5,1,zero_shot,0.001,2.01437939740789
1,1,J=0,retained_channel_fraction,0.5,1,pca_readout_recalibrated,0.001,0.296515566786973
1,1,J=0,retained_channel_fraction,0.5,2,zero_shot,0.001,1.70819870800448
1,1,J=0,retained_channel_fraction,0.5,2,pca_readout_recalibrated,0.001,0.294802300870099
1,1,J=0,retained_channel_fraction,0.5,3,zero_shot,0.001,3.56666101864135
1,1,J=0,retained_channel_fraction,0.5,3,pca_readout_recalibrated,0.001,0.29601916513603
1,1,J=0,retained_channel_fraction,0.25,1,zero_shot,0.001,2.21976197523582
1,1,J=0,retained_channel_fraction,0.25,1,pca_readout_recalibrated,0.001,0.293055210470135
1,1,J=0,retained_channel_fraction,0.25,2,zero_shot,0.001,2.68300240858666
1,1,J=0,retained_channel_fraction,0.25,2,pca_readout_recalibrated,0.001,0.296888903692305
1,1,J=0,retained_channel_fraction,0.25,3,zero_shot,0.001,3.12204883444478
1,1,J=0,retained_channel_fraction,0.25,3,pca_readout_recalibrated,0.001,0.294923880773711
1,1,J=0,gain_mismatch_sigma,0.01,1,zero_shot,0.001,1.84862130671202
1,1,J=0,gain_mismatch_sigma,0.01,1,pca_readout_recalibrated,0.001,0.295989966979452
1,1,J=0,gain_mismatch_sigma,0.01,2,zero_shot,0.001,0.849368745231802
1,1,J=0,gain_mismatch_sigma,0.01,2,pca_readout_recalibrated,0.001,0.295989966978059
1,1,J=0,gain_mismatch_sigma,0.01,3,zero_shot,0.001,0.337322894720897
1,1,J=0,gain_mismatch_sigma,0.01,3,pca_readout_recalibrated,0.001,0.295989966977977
1,1,J=0,gain_mismatch_sigma,0.05,1,zero_shot,0.001,1.04721213841105
1,1,J=0,gain_mismatch_sigma,0.05,1,pca_readout_recalibrated,0.001,0.295989966977675
1,1,J=0,gain_mismatch_sigma,0.05,2,zero_shot,0.001,2.78671592097182
1,1,J=0,gain_mismatch_sigma,0.05,2,pca_readout_recalibrated,0.001,0.295989966978618
1,1,J=0,gain_mismatch_sigma,0.05,3,zero_shot,0.001,4.92972600418795
1,1,J=0,gain_mismatch_sigma,0.05,3,pca_readout_recalibrated,0.001,0.295989966974969
1,1,J=0,gain_mismatch_sigma,0.1,1,zero_shot,0.001,6.5948860607522
1,1,J=0,gain_mismatch_sigma,0.1,1,pca_readout_recalibrated,0.001,0.295989966977136
1,1,J=0,gain_mismatch_sigma,0.1,2,zero_shot,0.001,11.0919528588591
1,1,J=0,gain_mismatch_sigma,0.1,2,pca_readout_recalibrated,0.001,0.295989966978335
1,1,J=0,gain_mismatch_sigma,0.1,3,zero_shot,0.001,2.13679545824829
1,1,J=0,gain_mismatch_sigma,0.1,3,pca_readout_recalibrated,0.001,0.295989966978118
1,1,J=0,sampling_jitter_fraction,0.01,1,zero_shot,0.001,0.296046777027927
1,1,J=0,sampling_jitter_fraction,0.01,1,pca_readout_recalibrated,0.001,0.295952801929131
1,1,J=0,sampling_jitter_fraction,0.01,2,zero_shot,0.001,0.296046777027927
1,1,J=0,sampling_jitter_fraction,0.01,2,pca_readout_recalibrated,0.001,0.295952801929131
1,1,J=0,sampling_jitter_fraction,0.01,3,zero_shot,0.001,0.296046777027927
1,1,J=0,sampling_jitter_fraction,0.01,3,pca_readout_recalibrated,0.001,0.295952801929131
1,1,J=0,sampling_jitter_fraction,0.05,1,zero_shot,0.001,0.298494306175868
1,1,J=0,sampling_jitter_fraction,0.05,1,pca_readout_recalibrated,0.001,0.295807124855609
1,1,J=0,sampling_jitter_fraction,0.05,2,zero_shot,0.001,0.298494306175868
1,1,J=0,sampling_jitter_fraction,0.05,2,pca_readout_recalibrated,0.001,0.295807124855609
1,1,J=0,sampling_jitter_fraction,0.05,3,zero_shot,0.001,0.298494306175868
1,1,J=0,sampling_jitter_fraction,0.05,3,pca_readout_recalibrated,0.001,0.295807124855609
1,1,J=0,sampling_jitter_fraction,0.1,1,zero_shot,0.001,0.306413440147171
1,1,J=0,sampling_jitter_fraction,0.1,1,pca_readout_recalibrated,0.001,0.295631475818239
1,1,J=0,sampling_jitter_fraction,0.1,2,zero_shot,0.001,0.306413440147171
1,1,J=0,sampling_jitter_fraction,0.1,2,pca_readout_recalibrated,0.001,0.295631475818239
1,1,J=0,sampling_jitter_fraction,0.1,3,zero_shot,0.001,0.306413440147171
1,1,J=0,sampling_jitter_fraction,0.1,3,pca_readout_recalibrated,0.001,0.295631475818239
1,1,J=0,failed_modes,1,1,zero_shot,0.001,2.73096608914481
1,1,J=0,failed_modes,1,1,pca_readout_recalibrated,0.001,0.293256595050087
1,1,J=0,failed_modes,1,2,zero_shot,0.001,1.31244778106929
1,1,J=0,failed_modes,1,2,pca_readout_recalibrated,0.001,0.294765337057685
1,1,J=0,failed_modes,1,3,zero_shot,0.001,0.887137340984275
1,1,J=0,failed_modes,1,3,pca_readout_recalibrated,0.001,0.295640175164726
