architecture,J,meanValidationNRMSE,sdValidationNRMSE,ridgeLambda
deterministic span,0,0.325566996483086,0.00844456382956571,4.64158883361278e-05
equal frequencies,0,0.368282950521359,0.00961331811563323,1e-06
deterministic span,0.65,0.274067758773849,0.010877989145942,1e-06
equal frequencies,0.65,0.415145593100174,0.0177352364917203,0.00215443469003188
