copies,globalLambda,meanValidationNRMSE,sdValidationNRMSE
1,1e-06,0.274067758773849,0.010877989145942
2,1e-06,0.274067758777826,0.0108779891449564
3,1e-06,0.274067758777165,0.0108779891448793
