conditionIndex,condition,effectiveDetectedPhotons,meanValidationNRMSE,sdValidationNRMSE,meanIntracavityPhotons,sdIntracavityPhotons,referenceEffectivePhotonsPerSample,requiredOpticalScale,estimatedInputPowerPerRing_W
1,J=0,1000,0.356565069252244,0.0193986719996405,5.02876213518552,2.26185457545376,0.00754314320277827,132570.729882429,2.96958434936641e-05
1,J=0,10000,0.335406506807194,0.023468523607031,5.02876213518552,2.26185457545376,0.00754314320277827,1325707.29882429,0.000296958434936641
1,J=0,100000,0.317197626838555,0.0170606483404695,5.02876213518552,2.26185457545376,0.00754314320277827,13257072.9882429,0.00296958434936641
4,J=0.65,1000,0.363053575317499,0.0198967761040919,0.432620770229262,0.137363100384234,0.000648931155343893,1540995.51510986,0.000345182995384609
4,J=0.65,10000,0.333764121733541,0.0278713199098412,0.432620770229262,0.137363100384234,0.000648931155343893,15409955.1510986,0.00345182995384609
4,J=0.65,100000,0.30435017816349,0.0279294861060583,0.432620770229262,0.137363100384234,0.000648931155343893,154099551.510986,0.0345182995384609
