feature_mode,n_pairs,control_mean,control_sd,control_median,control_iqr,intervention_mean,intervention_sd,intervention_median,intervention_iqr,paired_difference_mean,paired_difference_mean_ci95_1,paired_difference_mean_ci95_2,paired_difference_median,paired_difference_median_ci95_1,paired_difference_median_ci95_2,cohen_dz,improvement_fraction,permutation_p_two_sided,sign_test_p_two_sided,minimum_improvement_fraction_met
linear_features,30,0.311757143256683,0.0145119987262611,0.311221454761095,0.019927807873822,0.278718522979531,0.0180988752879052,0.27820702474961,0.019540403580261,0.0330386202771511,0.029687594832402,0.0361434807271424,0.0354866966799185,0.031804466600836,0.036838222798256,3.60634154296309,1,9.99990000099999e-06,1.86264514923096e-09,1
number_features,30,0.314494352823989,0.0128620507457565,0.313177532536389,0.015174079840446,0.324799689089756,0.0171977774365202,0.323482486925102,0.021766944889152,-0.0103053362657665,-0.0149029553474981,-0.00588622642323271,-0.00800939966813349,-0.015384811045611,-0.00291514775495,-0.804785784941194,0.233333333333333,0.000109998900011,0.00522287935018539,0
