readoutId,readoutTrajectoryId,requestedVirtualSamples,actualVirtualSamples,virtualNodeIdx,tapSetIndex,tapDelays,nDelayBlocks,nPC,actualCoefficientsIncludingBias,rawQuadratureDimension
47,12,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
48,12,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
49,13,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
50,13,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
51,13,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
52,13,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
53,14,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
54,14,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
55,14,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
56,14,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
57,15,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
58,15,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
59,15,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
60,15,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
61,16,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
62,16,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
63,16,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
64,16,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
65,17,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
66,17,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
67,17,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
68,17,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
69,18,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
70,18,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
71,18,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
72,18,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
73,19,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
74,19,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
75,19,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
76,19,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
77,20,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
78,20,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
79,20,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
80,20,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
81,21,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
82,21,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
83,21,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
84,21,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
85,22,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
86,22,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
87,22,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
88,22,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
89,23,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
90,23,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
91,23,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
92,23,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
93,24,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
94,24,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
95,24,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
96,24,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
97,25,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
98,25,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
99,25,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
100,25,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
101,26,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
102,26,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
103,26,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
104,26,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
105,27,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
106,27,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
107,27,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
108,27,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
109,28,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
110,28,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
111,28,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
112,28,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
113,29,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
114,29,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
115,29,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
116,29,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
117,30,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
118,30,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
119,30,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
120,30,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
121,31,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
122,31,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
123,31,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
124,31,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
125,32,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
126,32,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
127,32,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
128,32,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
129,33,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
130,33,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
131,33,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
132,33,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
133,34,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
134,34,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
135,34,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
136,34,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
137,35,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
138,35,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
