architecture,modesPerCopy,copies,totalResonators,intensityChannels,quadratureValues,opticalIQHybrids,balancedPhotodiodes,localDetuningControls,sharedAmplitudeModulators,virtualSamplesPerSymbol,averageSampleRatePerChannel,peakSampleRatePerChannel,trainedReadoutWeightsExcludingBias,explicitPcaMacsPerSymbol,fusedLinearMacsPerSymbol
original,12,3,36,36,72,36,144,36,3,6,3655671451.44994,4188790204.78639,338,11232,5616
minimal,12,1,12,12,24,12,48,0,1,6,3655671451.44994,4188790204.78639,338,3744,1872
