conditionIndex,condition,lag,meanCapacity,sdCapacity,semCapacity
1,J=0,1,0.811464359836229,0.0547406134883468,0.0173105019138111
1,J=0,2,0.411862486070477,0.0207356349279163,0.0065571835101957
1,J=0,3,0.409955497546803,0.018882235729146,0.00597108722203117
1,J=0,4,0.350019361500603,0.0124466393060881,0.0039359729421816
1,J=0,5,0.335335248488879,0.0184222587351854,0.00582562972481185
1,J=0,6,0.3348502835024,0.0165660522677139,0.00523864570033734
1,J=0,7,0.317487134250344,0.0152765635966178,0.00483087357857259
1,J=0,8,0.310678379540465,0.017435743664628,0.00551366626790755
1,J=0,9,0.31008626547561,0.0161387551912339,0.00510352250041655
1,J=0,10,0.302883221351431,0.0140328075401121,0.00443756337935389
1,J=0,11,0.297609910584609,0.0170564010161534,0.00539370758962552
1,J=0,12,0.298369126402098,0.0172088835047603,0.00544192678635435
1,J=0,13,0.296700572055521,0.0153976411631862,0.00486916166696327
1,J=0,14,0.290663847928006,0.0169206018469942,0.00535076412173534
1,J=0,15,0.289763164368413,0.0181896161410516,0.00575206167698855
1,J=0,16,0.289308954481457,0.0170777026563983,0.00540044375973266
1,J=0,17,0.285895004259656,0.0167742778884478,0.00530449242320949
1,J=0,18,0.284083750439714,0.0185053310425235,0.00585189949497925
1,J=0,19,0.284149824482223,0.0185519487849966,0.00586664131953825
1,J=0,20,0.282299497753179,0.0149016568171142,0.00471231764522562
4,J=0.65,1,0.821212628280708,0.055907668425155,0.0176795570892969
4,J=0.65,2,0.615700645211682,0.031467983797732,0.00995105021741084
4,J=0.65,3,0.573093756308697,0.0120148142664886,0.00379941787459891
4,J=0.65,4,0.563853813594836,0.0147756266814451,0.00467246341697217
4,J=0.65,5,0.549230835296267,0.0153833847737967,0.00486465340079516
4,J=0.65,6,0.547294458443475,0.0174722731326146,0.00552521789996273
4,J=0.65,7,0.544216932849891,0.0150219922702803,0.00475037105675295
4,J=0.65,8,0.538804477226181,0.0129498830574025,0.00409511258942168
4,J=0.65,9,0.533850547815062,0.0147956604685506,0.00467879865671341
4,J=0.65,10,0.525427266978127,0.0116157811905762,0.00367323253643632
4,J=0.65,11,0.522978115173196,0.0120262087378962,0.00380302112283709
4,J=0.65,12,0.514228013624221,0.0125765850747647,0.00397706540231354
4,J=0.65,13,0.511269275449087,0.0157070621943538,0.00496700918840805
4,J=0.65,14,0.498734097917256,0.0140393538270226,0.00443963349703929
4,J=0.65,15,0.493130727915254,0.0198712506217061,0.00628384119206282
4,J=0.65,16,0.478760115340975,0.0127470528902143,0.00403097205877096
4,J=0.65,17,0.477197950951702,0.0167147016411324,0.00528565275961326
4,J=0.65,18,0.467907349746809,0.0126980953243657,0.00401549031709301
4,J=0.65,19,0.464220048871958,0.017820047401293,0.00563519378002505
4,J=0.65,20,0.455181597045933,0.0156555597660117,0.00495072269054896
