conditionIndex,condition,capacityType,meanCapacity,sdCapacity,medianCapacity,q25Capacity,q75Capacity
1,"J=0, heterogeneous, both",linear,6.79346589031812,0.311337777226318,6.67015619606672,6.52031772252149,7.05055201376215
1,"J=0, heterogeneous, both",quadratic,0.0142154677321017,0.0186829631638455,0.00545472363732691,0.000206380897374459,0.0246574504019456
1,"J=0, heterogeneous, both",cross_product,0.49721451678872,0.364405012570768,0.481077228452011,0.18475761232651,0.68653055701346
2,"J=.65, uniform G, detuning",linear,10.5705777144637,0.200404428738114,10.5611332353506,10.4973543422046,10.6907063782642
2,"J=.65, uniform G, detuning",quadratic,0.00619377530715948,0.0149465239528869,0.0010765586407922,0,0.00249832854687182
2,"J=.65, uniform G, detuning",cross_product,0.131039394880213,0.126880963926275,0.0703230710929514,0.0216112252283254,0.248111094653169
3,"J=.65, heterogeneous G, detuning",linear,10.7190466903665,0.205293275104704,10.7264355552606,10.5815466438467,10.9043669586141
3,"J=.65, heterogeneous G, detuning",quadratic,0.0139394569923282,0.0219747176580015,0.00114917186403224,0,0.0186565894086318
3,"J=.65, heterogeneous G, detuning",cross_product,0.118759543854505,0.133057419374447,0.0958751115324856,0.0047912301023878,0.147823675340137
4,"J=.65, heterogeneous, both",linear,10.6962926540413,0.237978274061116,10.7360585939766,10.534117462689,10.8949036151278
4,"J=.65, heterogeneous, both",quadratic,0.013713907017554,0.0210886207791633,0.00520602147512339,0,0.0170672466446794
4,"J=.65, heterogeneous, both",cross_product,0.176120016836862,0.21033794855513,0.136196625783054,0.0047303867041284,0.221838414895404
