models,coefficientCount,selectedLambda,meanValidationNRMSE,sdValidationNRMSE
full-I/Q linear,51,1e-06,0.0888131277493576,0.00107440029299502
full-I/Q NVAR2,1326,21.5443469003188,0.0924919806665154,0.000930213215840213
