pairIndex,seedOffset,datasetSeed,controlNRMSE,coupledNRMSE,improvement
1,3001,3028141,0.337823168582233,0.282932080747099,0.054891087835134
2,3002,3029150,0.324283441812093,0.274902610559089,0.049380831253004
3,3003,3030159,0.335811461393082,0.287541532265491,0.048269929127591
4,3004,3031168,0.312984656258452,0.269669983288406,0.043314672970046
5,3005,3032177,0.35709833120309,0.299279850716509,0.057818480486581
6,3006,3033187,0.330233937905889,0.286082165150695,0.044151772755194
7,3007,3034195,0.31820566181329,0.270288863942127,0.047916797871163
8,3008,3035204,0.311246227935864,0.266926078000053,0.044320149935811
9,3009,3036213,0.314968558449961,0.266446574074388,0.048521984375573
10,3010,3037222,0.327707753596194,0.286408582630323,0.041299170965871
11,3011,3038231,0.316952045876267,0.27015105721702,0.046800988659247
12,3012,3039240,0.331230603483676,0.27539704435386,0.055833559129816
13,3013,3040249,0.364670180029323,0.319760666246437,0.044909513782886
14,3014,3041258,0.345007060305993,0.286490360307571,0.058516699998422
15,3015,3042267,0.353664958123832,0.304053994574776,0.049610963549056
16,3016,3043276,0.345340400251741,0.294324102198303,0.051016298053438
17,3017,3044285,0.328196752143062,0.281158834401149,0.047037917741913
18,3018,3045294,0.313842247654774,0.260189389677777,0.053652857976997
19,3019,3046303,0.332406670643672,0.282784622824986,0.049622047818686
20,3020,3047312,0.332598819368163,0.275742891733288,0.056855927634875
21,3021,3048321,0.35082281929878,0.292991637326473,0.057831181972307
22,3022,3049330,0.35233019647337,0.297177181610302,0.055153014863068
23,3023,3050339,0.322226349707355,0.277822504469153,0.044403845238202
24,3024,3051348,0.305613141736791,0.259105078314231,0.04650806342256
25,3025,3052357,0.335629239537008,0.284137390053679,0.051491849483329
26,3026,3053366,0.335241309895533,0.28386920893197,0.051372100963563
27,3027,3054375,0.322049952502383,0.278894771454351,0.043155181048032
28,3028,3055384,0.326408720693176,0.274982196072743,0.051426524620433
29,3029,3056393,0.32614575084763,0.283063329070683,0.043082421776947
30,3030,3057402,0.342333360330337,0.292391008059104,0.049942352271233
