Ksummary,Jsummary,meanValidationNRMSE,sdValidationNRMSE,medianValidationNRMSE,q25ValidationNRMSE,q75ValidationNRMSE
0,0,0.306226934244782,0.0081249068793805,0.306999008802628,0.297862605425708,0.311858987590217
0,0.65,0.287632547301064,0.018384987046059,0.285432670714566,0.277061780470239,0.289176986112695
0,0.8,0.303337031987697,0.0200465926707367,0.304043053369474,0.285017028937669,0.311259635009569
0,0.95,0.319426981910559,0.0223209234452124,0.316481034523365,0.300014170967005,0.333575373341722
-0.02,0,0.319012784569049,0.011312993670929,0.318775034577045,0.310298132029765,0.321969375957098
-0.02,0.65,0.290934542150593,0.0194087177998606,0.285667291100351,0.28084858920391,0.301768503199035
-0.02,0.8,0.304131468664569,0.0196979752104224,0.304295845463963,0.287551786085969,0.311546356206901
-0.02,0.95,0.319437577188722,0.0218505404922916,0.31640641793744,0.299265891571033,0.334249032183161
