seedOffset,span_J1,degenerate_J1,span_J2,degenerate_J2
101,0.323138580531002,0.368759157821187,0.272761729302442,0.421849577744643
102,0.339399520181233,0.377693207327368,0.29023397713327,0.432682531432447
103,0.33211265362098,0.369973179714766,0.273379222816525,0.426243379469238
104,0.318661297048012,0.374318599746871,0.262931900611331,0.399370395746513
105,0.323856570707349,0.364086841848635,0.265791638594781,0.389598191787843
106,0.316958183847576,0.350382069822322,0.272533926146038,0.421274535306431
107,0.330742950051733,0.369737261401763,0.278945541149565,0.418095468922749
108,0.31117615324022,0.354379270762857,0.258421875225048,0.388221426564253
109,0.331690995442688,0.380411972231291,0.292434288661269,0.441177218523933
110,0.327933060160069,0.373087944536533,0.273243488098215,0.412943205503688
