caseLabel,featureMode,variant,K,J,nPC,tapDelays,readoutCoefficients,valNRMSE,testNRMSE,R2true,lambdaBest,lockedIndex
K+0_J0,linear_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.31515176009826,0.318767341293739,0.898387382124521,0.01,2
K+0_J0,linear_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.308952153024585,0.314349678401014,0.901184279689179,0.0464158883361278,2
K+0_J0,linear_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.307420822998173,0.310080232955626,0.903850249130185,21.5443469003188,2
K+0_J0,linear_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.311626687404847,0.310480781880119,0.90360168408311,1000,2
K+0_J0,number_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.380272906301678,0.370853892217036,0.862467390627475,1e-06,2
K+0_J0,number_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.342914458017704,0.33463598647901,0.88801875655322,4.64158883361278e-05,2
K+0_J0,number_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.315703663629822,0.321264838867971,0.896788903307137,0.0001,2
K+0_J0,number_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.317161599069955,0.315723669410671,0.900318564573861,0.000464158883361278,2
K+0_J0,number_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.313206938154279,0.316681283578304,0.899712964631198,0.0001,2
K+0_J0,number_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.310176374671059,0.314492256431252,0.90109462064478,4.64158883361278,2
K+0_J0,number_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.308431237650701,0.313641713647941,0.901628875459983,464.158883361278,2
K+0_J0.65,linear_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.367315804526414,0.372403229657826,0.86131583454042,0.000464158883361278,2
K+0_J0.65,linear_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.342004000541312,0.345206904563883,0.880832193041422,0.001,2
K+0_J0.65,linear_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.278848975415836,0.289756280456719,0.916041297935888,1e-06,2
K+0_J0.65,linear_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.270294738336343,0.278831498745989,0.922252995307066,0.0001,2
K+0_J0.65,linear_features,Budget513,0,0.65,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.264495864171171,0.273334198835443,0.925288415746987,0.0001,2
K+0_J0.65,linear_features,Budget1025,0,0.65,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.262189668005107,0.267179057138417,0.928615351426627,2.15443469003188,2
K+0_J0.65,linear_features,Budget2049,0,0.65,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.263399785176369,0.267175792543827,0.928617095878578,21.5443469003188,2
K+0_J0.65,number_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.403537513443169,0.409299371109296,0.832474024809535,1e-06,2
K+0_J0.65,number_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.36244643634455,0.367593895821462,0.8648747277548,0.01,2
K+0_J0.65,number_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.334798525063242,0.334409374824738,0.888170370029328,0.00215443469003188,2
K+0_J0.65,number_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.321708901071519,0.318997908810657,0.898240334174428,0.001,2
K+0_J0.65,number_features,Budget513,0,0.65,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.291670096658778,0.299567626174489,0.910259237348182,0.000215443469003188,2
K+0_J0.65,number_features,Budget1025,0,0.65,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.269446464722992,0.264137368590663,0.930231450514,2.15443469003189e-06,2
K+0_J0.65,number_features,Budget2049,0,0.65,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.265839852683742,0.262960029351888,0.930852022963254,100,2
K+0_J0,linear_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.365971314476723,0.364613094091286,0.867057291617179,0.000464158883361278,3
K+0_J0,linear_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.35223725353607,0.328854195297623,0.891854918235153,0.000464158883361278,3
K+0_J0,linear_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.305161427519869,0.294189558826434,0.913452503477508,0.00464158883361278,3
K+0_J0,linear_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.302035644916594,0.290139568448639,0.915819030820437,0.01,3
K+0_J0,linear_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.30011122873619,0.285102295565155,0.918716681063479,0.0464158883361278,3
K+0_J0,linear_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.301989711519855,0.284271516736205,0.919189704772497,21.5443469003188,3
K+0_J0,linear_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.309023652926152,0.28294126601313,0.919944239986887,1000,3
K+0_J0,number_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.359491608898927,0.35967168401079,0.870636279720843,1e-06,3
K+0_J0,number_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.339266550607687,0.343898656646852,0.881733713956491,4.64158883361278e-05,3
K+0_J0,number_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.312848735400788,0.296050700777238,0.912353982569306,0.0001,3
K+0_J0,number_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.310070341904744,0.291695100639232,0.914913968263068,0.000464158883361278,3
K+0_J0,number_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.30946096238501,0.284075764610584,0.919300959960912,0.0001,3
K+0_J0,number_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.309116087475261,0.283840460663178,0.919434592890515,4.64158883361278,3
K+0_J0,number_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.311647170700947,0.282272044407693,0.920322492945901,464.158883361278,3
K+0_J0.65,linear_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.365525824412782,0.369247174740524,0.863656523946141,0.000464158883361278,3
K+0_J0.65,linear_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.351350656475499,0.351534962872528,0.87642316987821,0.001,3
K+0_J0.65,linear_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.289081835505997,0.283675877444433,0.919527996556131,1e-06,3
K+0_J0.65,linear_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.27350592576247,0.267109735665557,0.928652389112676,0.0001,3
K+0_J0.65,linear_features,Budget513,0,0.65,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.258522947407743,0.249235220267937,0.937881804977993,0.0001,3
K+0_J0.65,linear_features,Budget1025,0,0.65,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.258031528111038,0.247932135141087,0.938529656364382,2.15443469003188,3
K+0_J0.65,linear_features,Budget2049,0,0.65,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.263503349763512,0.250199668091331,0.937400126086988,21.5443469003188,3
K+0_J0.65,number_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.376585745649722,0.382331949091242,0.853822280704092,1e-06,3
K+0_J0.65,number_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.360188018180503,0.357728314141503,0.872030453261478,0.01,3
K+0_J0.65,number_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.338630050482729,0.336126541487738,0.887018948107492,0.00215443469003188,3
K+0_J0.65,number_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.322353260814437,0.30989333278904,0.903966122292901,0.001,3
K+0_J0.65,number_features,Budget513,0,0.65,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.289941373683558,0.280765353764556,0.921170816125464,0.000215443469003188,3
K+0_J0.65,number_features,Budget1025,0,0.65,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.260326599691723,0.244493316417096,0.94022301822737,2.15443469003189e-06,3
K+0_J0.65,number_features,Budget2049,0,0.65,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.257820792406954,0.242314927720946,0.941283475803593,100,3
K+0_J0,linear_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.387021413959736,0.36903957920122,0.863809788982987,0.000464158883361278,4
K+0_J0,linear_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.358865467828875,0.347066435440626,0.879544889390538,0.000464158883361278,4
