methods,meanNRMSE,sdNRMSE,meanBER,sdBER
direct phase,1.41609549109516,0.0117167875444215,0.501188888888889,0.00825256645710843
linear taps,0.692462111802295,0.00618874426286616,0.110055555555556,0.00837670704663133
NVAR2,0.249927327292887,0.00339384073758292,0,0
bosonic J=0,0.226034334549227,0.00312232814690403,1.11111111111111e-05,6.08580619450185e-05
bosonic coupled,0.268589031242116,0.00372916818489982,2.22222222222222e-05,8.45693772341542e-05
